ds,ts
2011-10-03,12.0
2011-10-04,6.0
2011-10-05,6.0
2011-10-06,6.0
2011-10-07,4.0
2011-10-08,12.0
2011-10-09,6.0
2011-10-10,8.0
2011-10-11,10.0
2011-10-12,6.0
2011-10-13,3.0
2011-10-14,4.0
2011-10-15,1.0
2011-10-16,6.0
2011-10-17,12.0
2011-10-18,12.0
2011-10-19,4.0
2011-10-20,3.0
2011-10-21,7.0
2011-10-22,7.0
2011-10-23,5.0
2011-10-24,9.0
2011-10-25,10.0
2011-10-26,6.0
2011-10-27,5.0
2011-10-28,6.0
2011-10-29,12.0
2011-10-30,2.0
2011-10-31,1.0
2011-11-01,24.0
2011-11-02,8.0
2011-11-03,10.0
2011-11-04,7.0
2011-11-05,4.0
2011-11-06,3.0
2011-11-07,12.0
2011-11-08,10.0
2011-11-09,4.0
2011-11-10,9.0
2011-11-11,4.0
2011-11-12,7.0
2011-11-13,10.0
2011-11-14,12.0
2011-11-15,7.0
2011-11-16,5.0
2011-11-17,7.0
2011-11-18,9.0
2011-11-19,6.0
2011-11-20,4.0
2011-11-21,6.0
2011-11-22,12.0
2011-11-23,4.0
2011-11-24,4.0
2011-11-25,4.0
2011-11-26,7.0
2011-11-27,9.0
2011-11-28,5.0
2011-11-29,4.0
2011-11-30,3.0
2011-12-01,5.0
2011-12-02,4.0
2011-12-03,3.0
2011-12-04,2.0
2011-12-05,5.0
2011-12-06,5.0
2011-12-07,6.0
2011-12-08,6.0
2011-12-09,2.0
2011-12-10,6.0
2011-12-11,4.0
2011-12-12,8.0
2011-12-13,5.0
2011-12-14,8.0
2011-12-15,2.0
2011-12-16,4.0
2011-12-17,8.0
2011-12-18,7.0
2011-12-19,7.0
2011-12-20,4.0
2011-12-21,4.0
2011-12-22,7.0
2011-12-23,6.0
2011-12-24,9.0
2011-12-25,3.0
2011-12-26,5.0
2011-12-27,8.0
2011-12-28,6.0
2011-12-29,10.0
2011-12-30,7.0
2011-12-31,7.0
2012-01-01,6.0
2012-01-02,16.0
2012-01-03,16.0
2012-01-04,12.0
2012-01-05,1.0
2012-01-06,18.0
2012-01-07,7.0
2012-01-08,11.0
2012-01-09,6.0
2012-01-10,11.0
2012-01-11,3.0
2012-01-12,6.0
2012-01-13,6.0
2012-01-14,3.0
2012-01-15,13.0
2012-01-16,12.0
2012-01-17,16.0
2012-01-18,5.0
2012-01-19,8.0
2012-01-20,5.0
